"Description","Image","Price","Rating","SKU","Specifications","Title","Special offer","Node title","Categories","Tags"
"This shoes can make more happy.
","public://1007289471.jpg, public://1007289473.jpg, public://1007289476.jpg, public://1007289475.jpg, public://1007289474.jpg, public://1007289472.jpg, public://1007289477.jpg","4600","3/5","Sandals-469617802","Available sizes
36, 37, 39
","Sandals","1","Sandals","Footwear, Summer","Lorem, Aenean"
"This shoes can make you happy
","public://1007196853.jpg, public://1007196859.jpg, public://1007196858.jpg, public://1007196857.jpg, public://1007196856.jpg, public://1007196854.jpg, public://1007196855.jpg","13900","5/5","Boots-1732854114","Available sizes
40, 41, 42, 44
","Boots","0","Boots","Footwear, Winter","Elit, Ipsum, Lorem"
"This shoes can make you happy
","public://1007330121.jpg, public://1007330119.jpg, public://1007330120.jpg, public://1007330118.jpg, public://1007330117.jpg, public://1007330122.jpg, public://1007330116.jpg","12100","4/5","Casual-1059006209","Available sizes
39, 40, 41
","Casual ","0","Casual ","Footwear, Summer","Lorem, Aenean"
"This shoes can make you happy
","public://1009697030.jpg, public://1009697027.jpg, public://1009697028.jpg, public://1009697022.jpg, public://1009697019.jpg, public://1009697014.jpg, public://1009697013.jpg","9400","5/5","Sandals-1729507257","Available sizes
39, 40, 41, 42, 43, 44
","Sandals","0","Sandals","Footwear, Summer","Sit amet, Consectetuer, Lorem"
"This shoes can make you happy
","public://1010822956.jpg, public://1010822954.jpg, public://1010822948.jpg, public://1010822950.jpg, public://1010822952.jpg, public://1010822953.jpg, public://1010822955.jpg","23900","5/5","Boots-1298694979","Available sizes
37, 38, 39, 40
","Boots","0","Boots","Footwear, Winter","Ipsum, Lorem, Aenean"
"This shoes can make you happy
","public://1008790552.jpg, public://1008790557.jpg, public://1008790553.jpg, public://1008790555.jpg, public://1008790556.jpg, public://1008790554.jpg, public://1008790558.jpg","8300","4/5","Boots-475382492","Available sizes
41, 42, 43, 44
","Boots","1","Boots","Footwear, Winter","Consectetuer, Ipsum, Lorem"
"This shoes can make you happy
","public://1007315944.jpg, public://1007315950.jpg, public://1007315949.jpg, public://1007315948.jpg, public://1007315947.jpg, public://1007315945.jpg, public://1007315946.jpg","9900","0/5","Heels-1720329259","Available sizes
38, 39, 40
","Heels","0","Heels","Summer","Adipiscing, Lorem, Aenean"
"Cotton twill, Classic Neckline, Dual button cuffs, Button closing, Logo
","public://37605838na_15n_f.jpg, public://37605838na_15n_r.jpg, public://37605838na_15n_e.jpg, public://37605838na_15n_d.jpg","89500","3/5","Men039sshirt-1327625919","Composition:  63% Cotton, 37% SilkMade In Italy
","Men's shirt","0","Men's shirt","Men, Tops","Elit, Adipiscing, Lorem"
"Jersey, V-neckline, Print, Logo
","public://37594707lm_15n_f.jpg, public://37594707lm_15n_r.jpg","32000","5/5","Men039sT-Shirt-520722692","Composition:  100% Cotton
Made In Italy
","Men's T-Shirt","1","Men's T-Shirt","Men, Tops","Consectetuer, Lorem"
"Sweatshirt fleece, Round collar
","public://39467010sx_15n_f.jpg, public://39467010sx_15n_r.jpg, public://39467010sx_15n_d.jpg","45500","4/5","Men039sknitwear-2047343075","Composition:  100% Cotton
Made In Italy
","Men's knitwear","0","Men's knitwear","Men, Tops","Ipsum, Lorem"
"Flannel, Lapel collar, Buttoned cuffs, Two pockets, Two inside pockets, Button closing, Dual back vents, Lined interior
","public://41470943db_15n_f.jpg, public://41470943db_15n_r.jpg, public://41470943db_15n_e.jpg, public://41470943db_15n_d.jpg","233500","4/5","Blazer-2065205858","Composition:  93% Virgin Wool, 7% Polyamide, Sheepskin
Made In Italy
","Blazer","0","Blazer","Men, Jackets","Lorem"
"Techno fabric, Sueded, Turtleneck, Multipockets, Zip, Goose down interior
","public://41472713ks_15n_f.jpg, public://41472713ks_15n_r.jpg, public://41472713ks_15n_e.jpg, public://41472713ks_15n_d.jpg","587500","4/5","Capes-1875876976","Composition:  Lambskin, Polyester
Made In Italy
","Capes","1","Capes","Men, Jackets","Ipsum, Lorem"
"No appliqués, Classic Neckline, Zipped cuffs, Two pockets, Zip, Lined interior
","public://41477185jh_15n_f.jpg, public://41477185jh_15n_r.jpg, public://41477185jh_15n_e.jpg, public://41477185jh_15n_d.jpg","427000","3/5","Jacket-1959993169","Composition:  Leather
Made In Italy
","Jacket","0","Jacket","Men, Jackets","Elit, Lorem"
"Textured leather, Mandarin collar, Zipped cuffs, Two pockets, Two inside pockets, Zip, Fur inner
","public://41470942lm_15n_f.jpg, public://41470942lm_15n_r.jpg, public://41470942lm_15n_e.jpg, public://41470942lm_15n_d.jpg","292000","4/5","Leatherouterwear-594621110","Composition:  100% Sheepskin
Made In Turkey
","Leather outerwear","0","Leather outerwear","Men, Jackets","Lorem"
"This dress is extremly gorgeous
","public://1010867924.jpg, public://1010867925.jpg, public://1010867926.jpg, public://1010884530.jpg","123500","4/5","Dress-912465103","Available sizes
40, 42, 44
","Dress","0","Dress","Women, Dresses","Elit, Adipiscing"
"This dress is extremly gorgeous
","public://1010867918.jpg, public://1010867920.jpg, public://1010867922.jpg, public://1010884544.jpg","210000","5/5","Dress-2052400955","Available sizes
40, 42
","Dress","0","Dress","Women, Dresses","Elit, Adipiscing"
"This dress is really amazing
","public://1010867930.jpg, public://1010867931.jpg, public://1010867932.jpg, public://1010884529.jpg","110000","3/5","Dress-1506338970","Available sizes
42, 44, 46
","Dress","0","Dress","Women, Dresses","Lorem"
"This jacket is really awesome!
","public://1010866220.jpg, public://1010866221.jpg, public://1010866222.jpg, public://1010884521.jpg","149900","4/5","Jacket-846855968","Available sizes
40, 42, 44
","Jacket","0","Jacket","Women, Jackets and tops","Elit, Adipiscing"
"This jacket is awesome!
","public://1010867912.jpg, public://1010867913.jpg, public://1010867914.jpg, public://1010884564.jpg","99000","5/5","Jacket-1424876274","Available sizes
40, 42, 44
","Jacket","1","Jacket","Women, Jackets and tops","Elit, Adipiscing"
"It is a gorgeous piece of jewelry. The diamonds are clear with no inclusions visible to the naked eye.
","public://AB27501400_hero.jpg, public://AB27501400_main (1).jpg, public://AB27501400_main.jpg, public://AB27501400_profile.jpg","826000","4/5","Diamondring-407319014","Stock number: 15461
Metal: 950 Platinum
Height: 2.9 mm
Width: 3.6 mm
","Diamond ring","0","Diamond ring","Jewelry, Diamond rings","Elit, Adipiscing"
"This is a beautiful ring. Very sparkly and just perfect in every way.
","public://AB59500800_alt1.jpg, public://AB59500800_hero.jpg, public://AB59500800_main (1).jpg, public://AB59500800_main.jpg","284000","4/5","Diamondring-948873086","Stock number: 17388
Metal: 950 Platinum
Height: 1.9 mm
Width: 2.5 mm
","Diamond ring","1","Diamond ring","Jewelry, Diamond rings","Lorem"
"Simple, elegant, sparkly.
","public://AB59500700_alt1.jpg, public://AB59500700_main (1).jpg, public://AB59500700_main.jpg","156000","4/5","Diamondring-1270704451","Stock number: 17387
Metal: 950 Platinum
Height: 1.7 mm
Width: 1.7 mm
","Diamond ring","0","Diamond ring","Jewelry, Diamond rings","Lorem"
"Big and sparkle. Your wife will love it.
","public://AB15502300_alt1 (1).jpg, public://AB15502300_alt1.jpg, public://AB15502300_main (1).jpg, public://AB15502300_main.jpg","545000","5/5","Diamondring-1656353540","Stock number: 6048
Metal: 950 Platinum
Height: 3.1 mm
Width: 3.9 mm
","Diamond ring","1","Diamond ring","Jewelry, Diamond rings","Elit, Adipiscing"
"This ring is really amazing
","public://Image 53.jpg, public://Image 54.png","3000","2/5","Ring-372305456","Very simple and nice ring
","Ring","0","Ring","Jewelry, Imitation jewelry","Lorem"
"This bangle set is really awesome!
","public://Image 52.png","40000","1/5","PinkGreenandOffWhiteImitationKundanStuddedBangleSet-1398581359","For a small hand
","Pink, Green and Off White Imitation Kundan Studded Bangle Set","1","Pink Imitation Kundan Studded Bangle Set","Jewelry, Imitation jewelry","Lorem"
